pretrain_loss,pretrain_mae,finetune_loss,finetune_mae,finetune_val_loss,finetune_val_mae,finetune_learning_rate
0.0811951607465744,0.19404223561286926,0.1481572538614273,0.23813177645206451,0.06487438082695007,0.2158140242099762,0.0005000000237487257
0.07928413897752762,0.1914464682340622,0.14109660685062408,0.23808978497982025,0.062443748116493225,0.21289432048797607,0.0005000000237487257
0.07841575890779495,0.19011224806308746,0.1369529366493225,0.2383984476327896,0.06211799383163452,0.21159124374389648,0.0005000000237487257
0.07812438905239105,0.18959203362464905,0.13574939966201782,0.23899582028388977,0.06216078996658325,0.21098081767559052,0.0005000000237487257
0.07800746709108353,0.18888846039772034,0.13532641530036926,0.2385164201259613,0.06233231723308563,0.21081668138504028,0.0005000000237487257
0.07765110582113266,0.1890023648738861,0.13509054481983185,0.23845115303993225,0.06244369596242905,0.21084533631801605,0.0005000000237487257
0.07750771939754486,0.1883474439382553,0.13415227830410004,0.23836633563041687,0.06258387118577957,0.21088014543056488,0.0005000000237487257
0.07724874466657639,0.18811073899269104,0.13390730321407318,0.23798981308937073,0.06277375668287277,0.2109946310520172,0.0005000000237487257
0.07724021375179291,0.18793311715126038,0.13297177851200104,0.2372431457042694,0.06287156045436859,0.2109965682029724,0.0005000000237487257
0.07713397592306137,0.18758223950862885,0.13291028141975403,0.23698851466178894,0.06286012381315231,0.21087561547756195,0.0002500000118743628
0.07692988961935043,0.187254399061203,0.13327988982200623,0.23727098107337952,0.06290803104639053,0.21083080768585205,0.0002500000118743628
0.07696801424026489,0.18688243627548218,0.13265705108642578,0.23669065535068512,0.06293946504592896,0.21072691679000854,0.0002500000118743628
0.07690664380788803,0.18721170723438263,0.13283558189868927,0.23686710000038147,0.06299653649330139,0.21067601442337036,0.0002500000118743628
0.0767631083726883,0.18649336695671082,0.1335185021162033,0.237145334482193,0.06308166682720184,0.21064263582229614,0.0002500000118743628
0.07656096667051315,0.18646234273910522,0.131186380982399,0.23563027381896973,0.06309987604618073,0.2106354683637619,0.0002500000118743628
0.07665339857339859,0.18619020283222198,,,,,
0.07647158950567245,0.1861920952796936,,,,,
0.07659897208213806,0.18624643981456757,,,,,
0.07646327465772629,0.18641145527362823,,,,,
0.07644029706716537,0.18628200888633728,,,,,
0.07636931538581848,0.18603269755840302,,,,,
0.07633232325315475,0.18566864728927612,,,,,
0.07643751055002213,0.18615387380123138,,,,,
0.07642818242311478,0.18594272434711456,,,,,
0.07636509835720062,0.18575464189052582,,,,,
0.07621362060308456,0.18571746349334717,,,,,
0.07625655829906464,0.18572412431240082,,,,,
0.07622216641902924,0.18565700948238373,,,,,
0.07620910555124283,0.18541675806045532,,,,,
0.07609844207763672,0.18532831966876984,,,,,
0.07608646899461746,0.1853846311569214,,,,,
0.07617507129907608,0.18537494540214539,,,,,
0.07599715888500214,0.18525241315364838,,,,,
0.07601050287485123,0.1851169764995575,,,,,
0.07605121284723282,0.18535996973514557,,,,,
0.07586171478033066,0.18498507142066956,,,,,
0.07592067122459412,0.18493005633354187,,,,,
0.0759042352437973,0.18499083817005157,,,,,
0.07586456835269928,0.18476440012454987,,,,,
0.07591056823730469,0.18482568860054016,,,,,
0.07567163556814194,0.18466007709503174,,,,,
0.07565215975046158,0.1844235360622406,,,,,
0.07568762451410294,0.1849403977394104,,,,,
0.07562309503555298,0.18446683883666992,,,,,
0.07541880756616592,0.18423645198345184,,,,,
0.07554837316274643,0.18425923585891724,,,,,
0.07549433410167694,0.1843200922012329,,,,,
0.07531966269016266,0.18397723138332367,,,,,
0.07540552318096161,0.18397414684295654,,,,,
0.07536136358976364,0.1840161681175232,,,,,
